dataset,task_id,method,snapshot_size,candidate_count,true_source,predicted_source,source_rank,hit_at_1,hit_at_5,mrr,error_hops
sashts,sashts_seed11_sourceJ033-008_frac20,snapshot_betweenness,5,5,J033-008,J033-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceJ033-008_frac20,snapshot_center,5,5,J033-008,J033-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceJ033-008_frac20,graphsage_lodo,5,5,J033-008,J033-007,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ033-008_frac30,random,5,5,J033-008,J033-008,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ033-008_frac30,snapshot_degree,5,5,J033-008,J033-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceJ033-008_frac30,snapshot_weighted_degree,5,5,J033-008,J033-007,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ033-008_frac30,snapshot_closeness,5,5,J033-008,J033-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceJ033-008_frac30,snapshot_betweenness,5,5,J033-008,J033-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceJ033-008_frac30,snapshot_center,5,5,J033-008,J033-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceJ033-008_frac30,graphsage_lodo,5,5,J033-008,J033-007,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ073-002_frac10,random,3,3,J073-002,J073-001,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ073-002_frac10,snapshot_degree,3,3,J073-002,J073-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ073-002_frac10,snapshot_weighted_degree,3,3,J073-002,J073-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ073-002_frac10,snapshot_closeness,3,3,J073-002,J073-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ073-002_frac10,snapshot_betweenness,3,3,J073-002,J073-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ073-002_frac10,snapshot_center,3,3,J073-002,J073-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ073-002_frac10,graphsage_lodo,3,3,J073-002,J073-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ073-002_frac20,random,3,3,J073-002,J073-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ073-002_frac20,snapshot_degree,3,3,J073-002,J073-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ073-002_frac20,snapshot_weighted_degree,3,3,J073-002,J073-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ073-002_frac20,snapshot_closeness,3,3,J073-002,J073-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ073-002_frac20,snapshot_betweenness,3,3,J073-002,J073-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ073-002_frac20,snapshot_center,3,3,J073-002,J073-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ073-002_frac20,graphsage_lodo,3,3,J073-002,J073-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ073-002_frac30,random,3,3,J073-002,J073-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ073-002_frac30,snapshot_degree,3,3,J073-002,J073-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ073-002_frac30,snapshot_weighted_degree,3,3,J073-002,J073-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ073-002_frac30,snapshot_closeness,3,3,J073-002,J073-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ073-002_frac30,snapshot_betweenness,3,3,J073-002,J073-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ073-002_frac30,snapshot_center,3,3,J073-002,J073-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ073-002_frac30,graphsage_lodo,3,3,J073-002,J073-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceS007-005_frac10,random,8,8,S007-005,S007-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS007-005_frac10,snapshot_degree,8,8,S007-005,S007-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceS007-005_frac10,snapshot_weighted_degree,8,8,S007-005,S007-006,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceS007-005_frac10,snapshot_closeness,8,8,S007-005,S007-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceS007-005_frac10,snapshot_betweenness,8,8,S007-005,S007-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceS007-005_frac10,snapshot_center,8,8,S007-005,S007-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceS007-005_frac10,graphsage_lodo,8,8,S007-005,S007-007,7,0,0,0.14285714285714285,1
sashts,sashts_seed11_sourceS007-005_frac20,random,8,8,S007-005,S007-006,5,0,1,0.2,1
sashts,sashts_seed11_sourceS007-005_frac20,snapshot_degree,8,8,S007-005,S007-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceS007-005_frac20,snapshot_weighted_degree,8,8,S007-005,S007-006,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceS007-005_frac20,snapshot_closeness,8,8,S007-005,S007-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceS007-005_frac20,snapshot_betweenness,8,8,S007-005,S007-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceS007-005_frac20,snapshot_center,8,8,S007-005,S007-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceS007-005_frac20,graphsage_lodo,8,8,S007-005,S007-007,7,0,0,0.14285714285714285,1
sashts,sashts_seed11_sourceS007-005_frac30,random,8,8,S007-005,S007-005,1,1,1,1.0,0
sashts,sashts_seed11_sourceS007-005_frac30,snapshot_degree,8,8,S007-005,S007-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceS007-005_frac30,snapshot_weighted_degree,8,8,S007-005,S007-006,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceS007-005_frac30,snapshot_closeness,8,8,S007-005,S007-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceS007-005_frac30,snapshot_betweenness,8,8,S007-005,S007-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceS007-005_frac30,snapshot_center,8,8,S007-005,S007-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceS007-005_frac30,graphsage_lodo,8,8,S007-005,S007-007,7,0,0,0.14285714285714285,1
sashts,sashts_seed11_sourceS007-007_frac10,random,8,8,S007-007,S007-005,7,0,0,0.14285714285714285,1
sashts,sashts_seed11_sourceS007-007_frac10,snapshot_degree,8,8,S007-007,S007-001,7,0,0,0.14285714285714285,1
sashts,sashts_seed11_sourceS007-007_frac10,snapshot_weighted_degree,8,8,S007-007,S007-006,7,0,0,0.14285714285714285,1
sashts,sashts_seed11_sourceS007-007_frac10,snapshot_closeness,8,8,S007-007,S007-001,7,0,0,0.14285714285714285,1
sashts,sashts_seed11_sourceS007-007_frac10,snapshot_betweenness,8,8,S007-007,S007-001,7,0,0,0.14285714285714285,1
sashts,sashts_seed11_sourceS007-007_frac10,snapshot_center,8,8,S007-007,S007-001,7,0,0,0.14285714285714285,1
sashts,sashts_seed11_sourceS007-007_frac10,graphsage_lodo,8,8,S007-007,S007-007,1,1,1,1.0,0
sashts,sashts_seed11_sourceS007-007_frac20,random,8,8,S007-007,S007-003,4,0,1,0.25,1
sashts,sashts_seed11_sourceS007-007_frac20,snapshot_degree,8,8,S007-007,S007-001,7,0,0,0.14285714285714285,1
sashts,sashts_seed11_sourceS007-007_frac20,snapshot_weighted_degree,8,8,S007-007,S007-006,7,0,0,0.14285714285714285,1
sashts,sashts_seed11_sourceS007-007_frac20,snapshot_closeness,8,8,S007-007,S007-001,7,0,0,0.14285714285714285,1
sashts,sashts_seed11_sourceS007-007_frac20,snapshot_betweenness,8,8,S007-007,S007-001,7,0,0,0.14285714285714285,1
sashts,sashts_seed11_sourceS007-007_frac20,snapshot_center,8,8,S007-007,S007-001,7,0,0,0.14285714285714285,1
