dataset,task_id,true_source,snapshot_size,target_fraction,simulation_steps,candidate_rows
sashts,sashts_seed42_sourceS006-008_frac30,S006-008,6,0.3,5,6
sashts,sashts_seed42_sourceS061-001_frac10,S061-001,5,0.1,4,5
sashts,sashts_seed42_sourceS061-001_frac20,S061-001,5,0.2,4,5
sashts,sashts_seed42_sourceS061-001_frac30,S061-001,5,0.3,3,5
sashts,sashts_seed42_sourceJ027-001_frac10,J027-001,5,0.1,5,5
sashts,sashts_seed42_sourceJ027-001_frac20,J027-001,5,0.2,5,5
sashts,sashts_seed42_sourceJ027-001_frac30,J027-001,5,0.3,5,5
sashts,sashts_seed42_sourceS052-003_frac10,S052-003,3,0.1,3,3
sashts,sashts_seed42_sourceS052-003_frac20,S052-003,3,0.2,3,3
sashts,sashts_seed42_sourceS052-003_frac30,S052-003,3,0.3,3,3
sashts,sashts_seed42_sourceJ077-005_frac10,J077-005,4,0.1,4,4
sashts,sashts_seed42_sourceJ077-005_frac20,J077-005,4,0.2,4,4
sashts,sashts_seed42_sourceJ077-005_frac30,J077-005,4,0.3,4,4
sashts,sashts_seed42_sourceS039-003_frac10,S039-003,4,0.1,3,4
sashts,sashts_seed42_sourceS039-003_frac20,S039-003,4,0.2,4,4
sashts,sashts_seed42_sourceS039-003_frac30,S039-003,4,0.3,4,4
sashts,sashts_seed42_sourceS012-001_frac10,S012-001,3,0.1,3,3
sashts,sashts_seed42_sourceS012-001_frac20,S012-001,3,0.2,3,3
sashts,sashts_seed42_sourceS012-001_frac30,S012-001,3,0.3,3,3
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1489_frac10,1489,143,0.1,2,143
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1489_frac20,1489,110,0.2,2,110
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1489_frac30,1489,120,0.3,2,120
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1798_frac10,1798,125,0.1,2,125
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1798_frac20,1798,69,0.2,2,69
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1798_frac30,1798,115,0.3,2,115
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1768_frac10,1768,106,0.1,2,106
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1768_frac20,1768,151,0.2,2,151
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1768_frac30,1768,161,0.3,2,161
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1913_frac10,1913,80,0.1,2,80
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1913_frac20,1913,87,0.2,2,87
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1913_frac30,1913,77,0.3,2,77
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1731_frac10,1731,133,0.1,2,133
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1731_frac20,1731,97,0.2,2,97
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1731_frac30,1731,218,0.3,3,218
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1750_frac10,1750,27,0.1,2,27
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1750_frac20,1750,161,0.2,3,161
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1750_frac30,1750,143,0.3,3,143
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1722_frac10,1722,125,0.1,2,125
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1722_frac20,1722,141,0.2,2,141
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1722_frac30,1722,161,0.3,2,161
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1880_frac10,1880,108,0.1,2,108
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1880_frac20,1880,87,0.2,2,87
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1880_frac30,1880,74,0.3,2,74
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1493_frac10,1493,98,0.1,2,98
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1493_frac20,1493,87,0.2,2,87
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1493_frac30,1493,105,0.3,2,105
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1714_frac10,1714,138,0.1,2,138
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1714_frac20,1714,113,0.2,2,113
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1714_frac30,1714,126,0.3,2,126
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1486_frac10,1486,88,0.1,2,88
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1486_frac20,1486,142,0.2,2,142
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1486_frac30,1486,99,0.3,2,99
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1653_frac10,1653,77,0.1,2,77
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1653_frac20,1653,62,0.2,2,62
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1653_frac30,1653,218,0.3,3,218
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1695_frac10,1695,148,0.1,2,148
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1695_frac20,1695,151,0.2,2,151
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1695_frac30,1695,132,0.3,2,132
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1458_frac10,1458,122,0.1,2,122
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1458_frac20,1458,158,0.2,2,158
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1458_frac30,1458,119,0.3,2,119
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1501_frac10,1501,137,0.1,2,137
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1501_frac20,1501,130,0.2,2,130
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1501_frac30,1501,112,0.3,2,112
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1920_frac10,1920,150,0.1,2,150
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1920_frac20,1920,133,0.2,2,133
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1920_frac30,1920,122,0.3,2,122
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1907_frac10,1907,125,0.1,2,125
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1907_frac20,1907,132,0.2,2,132
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1907_frac30,1907,105,0.3,2,105
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1797_frac10,1797,101,0.1,2,101
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1797_frac20,1797,138,0.2,2,138
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1797_frac30,1797,113,0.3,2,113
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1434_frac10,1434,132,0.1,2,132
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1434_frac20,1434,131,0.2,2,131
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1434_frac30,1434,91,0.3,2,91
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1898_frac10,1898,124,0.1,2,124
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1898_frac20,1898,89,0.2,2,89
sociopatterns_primary_school,sociopatterns_primary_school_seed11_source1898_frac30,1898,110,0.3,2,110
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1782_frac10,1782,111,0.1,2,111
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1782_frac20,1782,114,0.2,2,114
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1782_frac30,1782,114,0.3,2,114
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1560_frac10,1560,103,0.1,2,103
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1560_frac20,1560,147,0.2,2,147
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1560_frac30,1560,110,0.3,2,110
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1673_frac10,1673,169,0.1,2,169
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1673_frac20,1673,168,0.2,2,168
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1673_frac30,1673,176,0.3,2,176
