model,model_family,feature_set,seed,fold,threshold,best_epoch,best_val_ap,patience,max_epochs,early_stopped,train_auc,train_ap,train_accuracy,train_f1,train_precision,train_recall,train_brier,train_positives,train_n,validation_auc,validation_ap,validation_accuracy,validation_f1,validation_precision,validation_recall,validation_brier,validation_positives,validation_n,test_auc,test_ap,test_accuracy,test_f1,test_precision,test_recall,test_brier,test_positives,test_n,hidden_dim
graph_full,ablation,full,11,2,0.05,61,0.7876542896258855,50,800,True,0.6991935483870968,0.8674721907875058,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24440968770156019,80,111,0.6264550264550265,0.7876542896258855,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.24491622409422698,81,116,0.6609848484848485,0.8145554382396133,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2444404766122753,80,113,
no_graph_mlp_full,ablation,full_no_graph,11,2,0.05,9,0.6994063686805622,50,800,True,0.43588709677419357,0.693869410097545,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2501268699753496,80,111,0.47372134038800706,0.6994063686805622,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.25017058130854436,81,116,0.43143939393939396,0.7053722639291042,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2502302895348792,80,113,8.0
graph_remove_metadata,ablation,remove_metadata,11,2,0.05,113,0.7758418538852452,50,800,True,0.5171370967741935,0.7627312465775278,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24783639893514287,80,111,0.6336860670194003,0.7758418538852452,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.24795957898397714,81,116,0.5600378787878788,0.7313046628212665,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24814016143483814,80,113,
graph_remove_centrality,ablation,remove_centrality,11,2,0.05,117,0.7875356881391011,50,800,True,0.6907258064516129,0.8710039751492008,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2419917226041887,80,111,0.5982363315696649,0.7875356881391011,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.24400120426968944,81,116,0.6674242424242425,0.823152872668658,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24216301297675433,80,113,
graph_remove_edge_contact,ablation,remove_edge_contact,11,2,0.05,1,0.8160177877124664,50,800,True,0.6588709677419354,0.8518212427251575,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24679850586772234,80,111,0.6589065255731923,0.8160177877124664,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.24683012892782513,81,116,0.6545454545454545,0.8231202338401504,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24686373442859563,80,113,
graph_full,ablation,full,23,0,0.05,170,0.7958988279829156,50,800,True,0.6901515151515152,0.8516270124567586,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2393410598424975,80,113,0.5887096774193549,0.7958988279829156,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2446152658568213,80,111,0.5668430335097002,0.7563099883376384,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2467968019320552,81,116,
no_graph_mlp_full,ablation,full_no_graph,23,0,0.05,1,0.7478236094950351,50,800,True,0.5393939393939394,0.7175898538538749,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.25001935417480997,80,113,0.4629032258064516,0.7478236094950351,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.25005661696905607,80,111,0.5774250440917108,0.7962349176700887,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.24997947025982636,81,116,8.0
graph_remove_metadata,ablation,remove_metadata,23,0,0.05,17,0.7145575333124091,50,800,True,0.6043560606060606,0.7642804111755042,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2480259086990667,80,113,0.4570564516129032,0.7145575333124091,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24893368277129743,80,111,0.5656084656084656,0.7462570299433975,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.24853247097400089,81,116,
graph_remove_centrality,ablation,remove_centrality,23,0,0.4699999999999999,135,0.8050134070544017,50,800,True,0.6746212121212121,0.8602031485812539,0.7168141592920354,0.8315789473684211,0.7181818181818181,0.9875,0.24288117703808806,80,113,0.6133064516129032,0.8050134070544017,0.7297297297297297,0.8421052631578948,0.7272727272727273,1.0,0.24574317462800513,80,111,0.6211640211640211,0.7802124707253455,0.7068965517241379,0.826530612244898,0.7043478260869566,1.0,0.24680182993988845,81,116,
graph_remove_edge_contact,ablation,remove_edge_contact,23,0,0.05,207,0.7978836562290088,50,800,True,0.6806818181818182,0.8488905516218723,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2382424442654655,80,113,0.6036290322580645,0.7978836562290088,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24440625088713708,80,111,0.564021164021164,0.7542256303425741,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.24740593206182024,81,116,
