model,seed,fold,best_epoch,best_val_ap,early_stopped,threshold,hidden_dim,dropout_1,dropout_2,lr,weight_decay,feature_names,train_auc,train_ap,train_accuracy,train_f1,train_precision,train_recall,train_brier,train_positives,train_n,validation_auc,validation_ap,validation_accuracy,validation_f1,validation_precision,validation_recall,validation_brier,validation_positives,validation_n,test_auc,test_ap,test_accuracy,test_f1,test_precision,test_recall,test_brier,test_positives,test_n,config_id
full_pytorch_graphsage,11,1,3,0.7765477593592938,True,0.05,8,0.35,0.2,0.01,0.0005,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.6250440917107584,0.7867609397345813,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2805534578609037,81,116,0.5791666666666667,0.7765477593592938,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2837768231790665,80,113,0.42379032258064514,0.6812061373017702,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2870765869290611,80,111,2
full_pytorch_graphsage,11,2,59,0.8151397610436499,True,0.05,8,0.35,0.2,0.01,0.0005,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.8237903225806451,0.927807027480398,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.17375621177636932,80,111,0.656084656084656,0.8151397610436499,0.7068965517241379,0.826530612244898,0.7043478260869566,1.0,0.21163152408010666,81,116,0.5893939393939394,0.7785348187690977,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.22458098982893243,80,113,2
full_pytorch_graphsage,23,0,5,0.8184453163626418,True,0.05,8,0.35,0.2,0.01,0.0005,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.5958333333333333,0.7858534950300512,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2560155845520208,80,113,0.6451612903225806,0.8184453163626418,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2556198014399566,80,111,0.4444444444444444,0.6769006776569866,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2575100497692428,81,116,2
full_pytorch_graphsage,23,1,7,0.7801372231440908,True,0.05,8,0.35,0.2,0.01,0.0005,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.6804232804232804,0.8295837341718572,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.24300004231099906,81,116,0.5912878787878788,0.7801372231440908,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24505510275277273,80,113,0.6858870967741936,0.861900128578483,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24201867822870995,80,111,2
full_pytorch_graphsage,23,2,57,0.79073628636527,True,0.06,8,0.35,0.2,0.01,0.0005,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.8141129032258064,0.9153424850730211,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.18679362100493002,80,111,0.6194003527336861,0.79073628636527,0.7068965517241379,0.826530612244898,0.7043478260869566,1.0,0.22949473278947263,81,116,0.5787878787878787,0.7703206082787999,0.7079646017699115,0.8272251308900522,0.7117117117117117,0.9875,0.2653642148526931,80,113,2
full_pytorch_graphsage,42,0,107,0.8232466909135546,True,0.22999999999999998,8,0.35,0.2,0.01,0.0005,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.8996212121212122,0.9586391407454868,0.7787610619469026,0.8603351955307262,0.7777777777777778,0.9625,0.1359314252599716,80,113,0.6556451612903226,0.8232466909135546,0.7477477477477478,0.8461538461538461,0.7549019607843137,0.9625,0.21378307330652477,80,111,0.5661375661375662,0.7454825261443673,0.6982758620689655,0.8148148148148148,0.7129629629629629,0.9506172839506173,0.25031212120106777,81,116,2
full_pytorch_graphsage,42,1,157,0.7963727397240444,True,0.05,8,0.35,0.2,0.01,0.0005,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.9633156966490299,0.9837862834983344,0.7241379310344828,0.8350515463917526,0.7168141592920354,1.0,0.08781760560473427,81,116,0.5765151515151515,0.7963727397240444,0.7079646017699115,0.8272251308900522,0.7117117117117117,0.9875,0.26847496224181816,80,113,0.6451612903225806,0.8307457292356661,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24665355365212013,80,111,2
full_pytorch_graphsage,42,2,62,0.7931188241688986,True,0.09,8,0.35,0.2,0.01,0.0005,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.825,0.9258180801827308,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.21172030201403003,80,111,0.5837742504409171,0.7931188241688986,0.7068965517241379,0.8247422680412372,0.7079646017699115,0.9876543209876543,0.24446962245144108,81,116,0.5606060606060606,0.7852378157728509,0.6814159292035398,0.8085106382978724,0.7037037037037037,0.95,0.2689925838947971,80,113,2
full_pytorch_graphsage,11,0,3,0.8536316382165519,True,0.48999999999999994,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7075757575757575,0.8550436483325872,0.7168141592920354,0.8260869565217392,0.7307692307692307,0.95,0.2429851573823379,80,113,0.6608870967741935,0.8536316382165519,0.7387387387387387,0.8432432432432432,0.7428571428571429,0.975,0.24339907207891295,80,111,0.638095238095238,0.7818516978036572,0.7241379310344828,0.8297872340425532,0.7289719626168224,0.9629629629629629,0.2433856076823671,81,116,3
full_pytorch_graphsage,11,1,180,0.8125298396604258,True,0.05,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.9911816578483245,0.9965195709365965,0.853448275862069,0.9050279329608939,0.826530612244898,1.0,0.04017444600530727,81,116,0.6454545454545455,0.8125298396604258,0.6902654867256637,0.8066298342541437,0.7227722772277227,0.9125,0.28932211179694556,80,113,0.48346774193548386,0.7540053465309312,0.6936936936936937,0.8131868131868133,0.7254901960784313,0.925,0.3820215377704457,80,111,3
full_pytorch_graphsage,11,2,7,0.821123816045214,True,0.49999999999999994,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.6326612903225807,0.8320811322176921,0.7117117117117117,0.8160919540229885,0.7553191489361702,0.8875,0.236465805357939,80,111,0.6680776014109348,0.821123816045214,0.7327586206896551,0.8306010928961749,0.7450980392156863,0.9382716049382716,0.2365937642002653,81,116,0.625,0.7630724613567059,0.7522123893805309,0.840909090909091,0.7708333333333334,0.925,0.23855822514176941,80,113,3
full_pytorch_graphsage,23,0,20,0.7832690684592511,True,0.05,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7223484848484848,0.8765087638118008,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.22491112271819563,80,113,0.5737903225806451,0.7832690684592511,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2532891246191531,80,111,0.5788359788359788,0.7619922338985805,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.25281530358626214,81,116,3
full_pytorch_graphsage,23,1,12,0.774600286173405,True,0.32999999999999996,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7710758377425044,0.904577792135973,0.7068965517241379,0.826530612244898,0.7043478260869566,1.0,0.20254065450920924,81,116,0.5617424242424243,0.774600286173405,0.7168141592920354,0.8333333333333333,0.7142857142857143,1.0,0.23820152410423315,80,113,0.5713709677419355,0.7901967520404329,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.23744029110196604,80,111,3
full_pytorch_graphsage,23,2,53,0.786384384013652,True,0.05,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.9435483870967742,0.9799181874130459,0.7477477477477478,0.8494623655913979,0.7452830188679245,0.9875,0.10158078404982855,80,111,0.6409171075837743,0.786384384013652,0.7155172413793104,0.8307692307692308,0.7105263157894737,1.0,0.23556748054495844,81,116,0.5238636363636363,0.7225935255215453,0.6902654867256637,0.8108108108108109,0.7142857142857143,0.9375,0.31546436827972535,80,113,3
full_pytorch_graphsage,42,0,29,0.8134367801489854,True,0.05,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7795454545454545,0.8953418308064041,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.19408465584000395,80,113,0.6431451612903226,0.8134367801489854,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.21214313124383488,80,111,0.5961199294532628,0.764114352509798,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.22479832678424402,81,116,3
full_pytorch_graphsage,42,1,1,0.807278004352027,True,0.48999999999999994,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.5749559082892416,0.7736335191937432,0.7068965517241379,0.826530612244898,0.7043478260869566,1.0,0.24873400763459733,81,116,0.6325757575757576,0.807278004352027,0.7168141592920354,0.8333333333333333,0.7142857142857143,1.0,0.24865349698043923,80,113,0.5701612903225807,0.7720270373338323,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24859580246507187,80,111,3
full_pytorch_graphsage,42,2,30,0.7957215909233815,True,0.05,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.802016129032258,0.9190651527180049,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.1894069871181899,80,111,0.5746031746031746,0.7957215909233815,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.23988082674119218,81,116,0.5738636363636364,0.7851274842053623,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.23484317543918293,80,113,3
full_pytorch_graphsage,11,0,7,0.8533840777599577,True,0.4699999999999999,16,0.35,0.2,0.01,0.0005,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.693939393939394,0.8509937367565877,0.7168141592920354,0.8260869565217392,0.7307692307692307,0.95,0.24162559895007849,80,113,0.6455645161290322,0.8533840777599577,0.7387387387387387,0.8415300546448088,0.7475728155339806,0.9625,0.24403920624995765,80,111,0.5686067019400353,0.7405253005039267,0.7413793103448276,0.8421052631578947,0.7339449541284404,0.9876543209876543,0.24395084500650782,81,116,4
